epoch,train_loss,valid_mse,valid_mae
1,0.7089455127716064,0.6870715377571882,0.6170203876571227
2,0.5469791988531748,0.5568884279867721,0.5696484864896512
3,0.4740478793780009,0.5125970691476628,0.5465241972978093
4,0.4419402132431666,0.4950943772815235,0.5386559197077789
5,0.42337651550769806,0.4951643322901985,0.5446891000852124
6,0.41754241784413654,0.4912909087091254,0.5407591630899786
7,0.41116803884506226,0.4958146242900836,0.544417142155371
8,0.4134921133518219,0.4958412255031509,0.5443868957199317
9,0.41103460391362506,0.4964078881490624,0.5434841482806393
10,0.4087055077155431,0.4954265461001755,0.5436401822711465
11,0.40991662939389545,0.4962129305338519,0.5432733882359895
12,0.40255532165368396,0.4918235499326908,0.5417774582104152
13,0.40525156259536743,0.49291495737716046,0.5412339807428473
14,0.4030606150627136,0.494578218124371,0.5418605841648869
