epoch,train_loss,valid_mse,valid_mae
1,0.716843843460083,0.714223657069113,0.6307027114828607
2,0.5577544917662939,0.5729519416854996,0.5718448988694226
3,0.47174101571242016,0.5101075803908429,0.5405033939535493
4,0.4377459834019343,0.49626651302910646,0.5388679670877419
5,0.4248529573281606,0.49597616335878514,0.539590921712734
6,0.42168332636356354,0.4909189271037052,0.5382271967882976
7,0.41090530157089233,0.4962273644138035,0.5437835498820113
8,0.4167088170846303,0.4920337411098474,0.5422142879430107
9,0.4120086183150609,0.49446761344039253,0.539819243489202
10,0.4094783316055934,0.4971773189771709,0.5439107103166364
11,0.4147844463586807,0.49351252801391665,0.5400773869963684
12,0.4082881212234497,0.5023707545422672,0.5484327361257002
13,0.406048059463501,0.49635940629344,0.5384433642473865
14,0.4058070133129756,0.49915358454563363,0.5426457107246502
