epoch,train_loss,valid_mse,valid_mae
1,0.7857323288917542,0.8487147500895257,0.6983623371219195
2,0.7115359902381897,0.8232838743639697,0.6883091727967119
3,0.6652423441410065,0.8062878007201119,0.6838457192777626
4,0.6258385479450226,0.794907894939075,0.6837171786641468
5,0.5755392611026764,0.7929199121911696,0.6895116465421578
6,0.5320900976657867,0.7963177341166628,0.6976075294946299
7,0.49483223259449005,0.7953987504205879,0.7012999164888134
8,0.4748544543981552,0.7856875156852589,0.6978926367363827
9,0.45675234496593475,0.76848280622715,0.6881634524300533
10,0.4454282820224762,0.7462337035412793,0.6739577645291598
11,0.4268825650215149,0.7264356478565418,0.660903602875493
12,0.4211437404155731,0.7122928010293128,0.6518560440753617
13,0.4196711778640747,0.7079724239577013,0.6508164387195111
14,0.4179767370223999,0.710731050256871,0.6541881520259816
15,0.40536925196647644,0.7069606494587962,0.6510909425800822
16,0.40257881581783295,0.7020341174494336,0.6474347726601253
17,0.4007168561220169,0.7012089311805026,0.6480285553181936
18,0.3936304301023483,0.7023418229282642,0.6501232060434651
19,0.39320114254951477,0.701128144078954,0.6500581678412375
20,0.3913794159889221,0.7013934942427874,0.6499116072852426
21,0.38771796226501465,0.6996727078445741,0.6485829944635924
22,0.3897225260734558,0.6992096704139164,0.6493881395650164
23,0.38657131791114807,0.7027091931423117,0.6525552091013274
24,0.3835800588130951,0.6995296424969658,0.6506045762495698
25,0.37825043499469757,0.6935973994876473,0.6464314699770559
26,0.37577007710933685,0.6935042036707718,0.6460005536941476
27,0.375699520111084,0.6947599825295162,0.6468638543683131
28,0.37688419222831726,0.6995313115045088,0.6500461537219347
29,0.3734104037284851,0.7087520279909038,0.6557817066907975
30,0.37303774058818817,0.7053390869767966,0.6531189202317372
