epoch,train_loss,valid_mse,valid_mae
1,0.8288434445858002,0.8756023434015685,0.7140532853391586
2,0.7601580619812012,0.8531711264896845,0.7041319775663045
3,0.7290242910385132,0.8446804883706671,0.70152069014847
4,0.708262026309967,0.8423056302127161,0.7025605074763159
5,0.6835626065731049,0.8431940833716621,0.705848779788398
6,0.655083566904068,0.8468660974548977,0.7112549899404131
7,0.6225279867649078,0.8540108917264868,0.7191465062086951
8,0.5975756645202637,0.8643529749010146,0.7287782214948895
9,0.5720129311084747,0.8766610719107272,0.7393200253433181
10,0.5454600751399994,0.8880860344407152,0.7491475596521572
11,0.5253937244415283,0.8966881337026057,0.7570292608952367
12,0.5134382545948029,0.9004223185255974,0.7616983917754838
