epoch,train_loss,valid_mse,valid_mae
1,0.8145796656608582,0.8703333840667038,0.7098856924682403
2,0.7470373213291168,0.8519727187040111,0.7027881798508613
3,0.7250957787036896,0.8440483150332128,0.701386966315473
4,0.6948763132095337,0.8440614804020722,0.7046597247895914
5,0.6740856766700745,0.8476618951257527,0.7102792398670575
6,0.6386852562427521,0.8540194213788718,0.7176425857089578
7,0.6058388352394104,0.8637148631566127,0.7266484296712498
8,0.5785670876502991,0.8731107497323798,0.7351489806764224
9,0.5571661293506622,0.8800876214801422,0.7420237445058426
10,0.5231537818908691,0.8858626630354881,0.7478682628769949
11,0.5078781545162201,0.89260123001285,0.7538377336195246
