model,horizon,trainable_params,test_mse_mean,test_mae_mean
lstm,90,65178,163266.14649821646,312.44739157982036
lstm,365,83053,316352.28856190277,446.398511415426
transformer,90,88282,156632.2207333452,305.3012970512887
transformer,365,123757,442242.9972100163,545.8213178398208
dmsaformer,90,393794,166667.85178520158,315.3869040738222
dmsaformer,365,532669,348462.95586799545,475.3235510565499
