epoch,train_loss,valid_mse,valid_mae
1,0.7208077609539032,0.6984497909748592,0.6224658846179927
2,0.5558444857597351,0.5753995942879536,0.5785793607463289
3,0.476309393843015,0.5134137628418227,0.5439254043992277
4,0.4384101976950963,0.4967935884439588,0.5366346321597804
5,0.4229494084914525,0.4947923209861914,0.5371920174491011
6,0.4230155100425084,0.4918915547406294,0.5365394979850352
7,0.42025523881117505,0.4967193463605366,0.5381851692456182
8,0.4109443575143814,0.5040524492963201,0.5456978472611433
9,0.4112446755170822,0.49622890097259686,0.5394138997344472
10,0.411920686562856,0.4993764143918185,0.541538650287423
11,0.4052567680676778,0.4984433795816403,0.5411737091108201
12,0.4040030837059021,0.4917653680624615,0.5375286085211486
13,0.40465529759724933,0.4969507720159887,0.5399554406675698
14,0.4010459582010905,0.4882065801476607,0.5345844742074116
15,0.40071198840936023,0.4947236300306033,0.538839495340587
16,0.4007981022198995,0.4949931601410385,0.539320305520229
17,0.39548809826374054,0.4961182075067784,0.5385072797178239
18,0.3974439452091853,0.4968578879930687,0.5389397831387073
19,0.3934924950202306,0.49680674485228743,0.5399268216094316
20,0.3931998113791148,0.4977853459764314,0.5400685149830557
21,0.3921261578798294,0.496133563875875,0.5365379195367936
22,0.3880165268977483,0.4995514547603765,0.5406240948886266
