Model,Horizon,Raw MSE mean,Raw MSE std,Raw MAE mean,Raw MAE std,Cal MSE mean,Cal MSE std,Cal MAE mean,Cal MAE std,Runs
dmsaformer,90,166667.85178520158,14947.402954834533,315.3869040738223,16.7990532997533,163105.97771589624,6543.596698240122,312.37168519982305,6.082879517962106,5
lstm,90,163266.1464982165,1593.1939296478931,312.4473915798203,2.165383263716136,168157.90297284964,1946.16034170727,321.7828740658063,2.4826085096900563,5
transformer,90,156632.2207333452,3657.5548179261427,305.30129705128866,4.984233233072315,160073.1706073698,3411.5904146415896,312.71161191478495,3.4108690460776123,5
dmsaformer,365,348462.95586799545,56350.81140308557,475.3235510565499,46.43054349627821,294854.8328308889,31206.13851292284,430.2783078751222,27.08696700837208,5
lstm,365,316352.28856190277,16272.194208808824,446.398511415426,12.259631670628671,272821.2770886129,7078.78116263413,409.5850347792284,5.8965613537589965,5
transformer,365,442242.9972100163,45528.48219004254,545.8213178398208,32.60408375071853,349540.4612488044,13699.046511847007,475.25973285432485,10.835892843566846,5
