epoch,train_loss,valid_mse,valid_mae
1,0.7732363045215607,0.8369246752031264,0.6941550998495436
2,0.6867789924144745,0.8159626380653711,0.6875945029617939
3,0.6422260999679565,0.8065409630440935,0.6891041360754491
4,0.5832885205745697,0.8071039990045448,0.6975102290997471
5,0.5464039742946625,0.816828213098518,0.7103326778732724
6,0.5046813637018204,0.825170460945621,0.7202482482137255
7,0.4785720258951187,0.812815379546633,0.7162417865751298
8,0.45594438910484314,0.788564356327834,0.7030579738916541
9,0.44484953582286835,0.7663763307775745,0.6895837792192295
10,0.4346879720687866,0.7529060538467567,0.6820597187853984
11,0.4318944960832596,0.7452563429388054,0.6788662623110279
12,0.42212681472301483,0.7505969962875376,0.6845522004320553
13,0.42433707416057587,0.75668336814367,0.689729898571042
14,0.418634369969368,0.748639566297475,0.6852357374163164
15,0.40672236680984497,0.7264198372086426,0.6711403290178101
16,0.4048417955636978,0.7193433086199382,0.6676476250431825
17,0.4030117690563202,0.7293139119214128,0.6759186072017835
18,0.3993302285671234,0.7458967805660532,0.6875516325763222
19,0.39593733847141266,0.7455645204313996,0.6878142812492091
20,0.3938756585121155,0.7315487392182588,0.6787478626453107
21,0.39048242568969727,0.7290773361415835,0.6769196081016207
22,0.3791036903858185,0.7362068391248254,0.6817592919088139
23,0.38520383834838867,0.7415119935468019,0.6855559215904764
24,0.38085009157657623,0.7406736710299044,0.6852397719675765
