Model,Horizon,MSE mean,MSE std,MAE mean,MAE std,Runs
dmsaformer,90,166667.85178520158,14947.402954834533,315.3869040738223,16.799053299753293,5
lstm,90,163266.1464982165,1593.1939296478931,312.4473915798203,2.1653832637161714,5
transformer,90,156632.2207333452,3657.5548179261436,305.30129705128866,4.984233233072307,5
dmsaformer,365,348462.95586799545,56350.81140308559,475.3235510565499,46.430543496278204,5
lstm,365,316352.28856190277,16272.194208808809,446.398511415426,12.259631670628673,5
transformer,365,442242.9972100163,45528.48219004257,545.8213178398208,32.60408375071846,5
