epoch,train_loss,valid_mse,valid_mae
1,0.7827816307544708,0.8525528318840861,0.7025754719716525
2,0.7416192889213562,0.8395876530067834,0.6970604948640277
3,0.7211551070213318,0.835203983235873,0.6965912977533951
4,0.6985060274600983,0.8352543093754935,0.6994183603597749
5,0.6678785383701324,0.8388384772738791,0.7046453953779162
6,0.6532075107097626,0.8440272212496525,0.7110042176529475
7,0.6258853375911713,0.8508503885359309,0.7182520286778296
8,0.5982818603515625,0.8586587614186578,0.7259710992372972
9,0.5675307810306549,0.8650016566190589,0.7326949625105761
10,0.5593749284744263,0.8680027481955506,0.7370943088246246
11,0.5324228405952454,0.8683602386530308,0.7396123983586419
