epoch,train_loss,valid_mse,valid_mae
1,0.7453606923421224,0.8346409923462723,0.6969068459848573
2,0.6415600776672363,0.833470128946942,0.7056643538447539
3,0.5636183023452759,0.8523791057871026,0.7263326190235888
4,0.5022515654563904,0.8720228375476858,0.7448083929604683
5,0.4625903169314067,0.8425781897635194,0.7331152814535412
6,0.4391437570254008,0.7927505844267648,0.7064096168472117
7,0.4162096480528514,0.7864283712785806,0.7054122475806721
8,0.40387023488680523,0.7753206768282321,0.7005606182456193
9,0.3931434253851573,0.7570418055348387,0.6905557739077431
10,0.3812268575032552,0.7587403801768409,0.6927479618714558
11,0.3695249656836192,0.7588035873636481,0.6932416246971466
12,0.359279731909434,0.7587905341018094,0.6936896254116524
13,0.3526301980018616,0.7583352218204247,0.6935406045492328
14,0.34438806772232056,0.764244884967622,0.6971037472967426
15,0.33819953600565594,0.7623882858592003,0.6957881308850873
16,0.33081331849098206,0.7488558081002845,0.6862213870108587
17,0.3241714934508006,0.760041891292374,0.6931142304411066
18,0.3149280250072479,0.7677742499266499,0.6973956730232619
19,0.3061682879924774,0.7598630610865079,0.6901510432145603
20,0.29847490787506104,0.7735355152902837,0.6987315118001373
21,0.2911505500475566,0.7807683866871847,0.703373953675293
22,0.2847391764322917,0.7848389937569111,0.7046079712498602
23,0.2762116491794586,0.7786722207998918,0.6981927879889941
24,0.2685210108757019,0.7981141157684677,0.710357749006713
