method,horizon,test_mse,test_mae
persistence,90,370990.34016728605,483.93681439108764
window_mean,90,354862.1722557221,487.82207473114045
seasonal_naive_7d,90,360728.0851073472,475.3041197653192
persistence,365,426496.9479955148,514.4609187632983
window_mean,365,422043.35675511434,524.9483081354791
seasonal_naive_7d,365,396030.25399946194,489.5115998368169
