model,horizon,final_train_loss,best_valid_mse,valid_over_train_ratio
lstm,90,0.3966144909461339,0.49850324246555966,1.2568961897392292
lstm,365,0.5118063956499099,0.842433277521376,1.6459999028570644
transformer,90,0.3959746072689692,0.4890639931493654,1.2350892814123418
transformer,365,0.38960732817649835,0.7414294880118888,1.9030173058654825
dmsaformer,90,0.36882919395963343,0.51787815606602,1.404113786401353
dmsaformer,365,0.2973953465620677,0.7511177166354708,2.5256538991564526
