epoch,train_loss,valid_mse,valid_mae
1,0.69002137084802,0.5727661801684184,0.572155176742166
2,0.4817326565583547,0.5050750692960514,0.5374134501234645
3,0.46464844544728595,0.4941096322957037,0.5326453770600267
4,0.4721050187945366,0.49782641083328094,0.5329063455372273
5,0.5216633901000023,0.5163217802248612,0.5442930665805059
6,0.4486403614282608,0.49634174381310897,0.5362526535441543
7,0.45442162205775577,0.4829882189742146,0.5262945631251353
8,0.4130284662048022,0.48858475955051767,0.5275996768000181
9,0.4243683914343516,0.4968093126545852,0.5340668981936288
10,0.39039627214272815,0.5102430770654055,0.5400450908337973
11,0.37945127487182617,0.5104781314757297,0.542149889110378
12,0.37357742091019946,0.4947772330920848,0.5349423287633356
13,0.38497940947612125,0.48822013312181856,0.5346947534651301
14,0.3864923045039177,0.49211145882895346,0.5383122976937519
15,0.39331233004728955,0.4988597547277387,0.5340773934845413
