epoch,train_loss,valid_mse,valid_mae
1,0.7239585320154825,0.8318403440332385,0.7010151396796529
2,0.6201605598131815,0.8197922720018396,0.7043918651319484
3,0.5466587742169698,0.8303828833075545,0.7197823414999552
4,0.4884564181168874,0.838566270944217,0.7307858560001512
5,0.4494568606217702,0.8116736079328392,0.7182113344060843
6,0.42397122581799823,0.7783145901644264,0.6994682804251765
7,0.4069853921731313,0.7534974330607155,0.6845847308771071
8,0.39173145095507306,0.7380875023132257,0.6748996020416451
9,0.38287606835365295,0.7391530237160275,0.6776324509279315
10,0.37120602528254193,0.7494976765097742,0.6856886689414238
11,0.36728928486506146,0.741101984380436,0.6793745675187457
12,0.35168395439783734,0.7420112035625748,0.6794968543887377
13,0.34337647755940753,0.7469821975287254,0.682822091460251
14,0.337510347366333,0.7474490155750152,0.6828610386044144
15,0.33237771193186444,0.7488161790962753,0.6834610286410663
16,0.3212842245896657,0.7583584729075845,0.6897313780479577
