Model,Horizon,MSE mean,MSE std,MAE mean,MAE std,Runs
dmsaformer,90,163105.97771589624,6543.596698240101,312.37168519982305,6.082879517962098,5
lstm,90,163266.74221521177,1593.56780428657,312.4480745328251,2.1653464427886426,5
transformer,90,156632.34211447107,3657.4758274881337,305.30122480865856,4.984317240120301,5
dmsaformer,365,294854.8328308889,31206.138512922855,430.2783078751222,27.086967008372103,5
lstm,365,316352.0628306521,16271.974417126634,446.3983786155901,12.259544418154226,5
transformer,365,442238.9403701717,45530.6581637316,545.8184045768119,32.605792048272384,5
